Date,Campaign Name,Volunteer ID,Donor Channel,Amount Raised (INR),Donation Status,Campaign Target (INR)
2026-04-11,Women Empowerment,V001,WhatsApp,4833,Failed,400000
2026-04-29,Winter Clothes Drive,V008,Cold Call,2682,Pending,200000
2026-01-29,Women Empowerment,V007,WhatsApp,3878,Completed,400000
2026-02-21,Women Empowerment,V010,WhatsApp,3280,Completed,400000
2026-01-11,Winter Clothes Drive,V003,WhatsApp,538,Completed,200000
2026-04-24,Feed the Hungry,V001,WhatsApp,1397,Pending,300000
2026-05-04,Women Empowerment,V005,WhatsApp,3731,Failed,400000
2026-03-09,Winter Clothes Drive,V004,LinkedIn,3223,Completed,200000
2026-03-16,Project Education,V010,LinkedIn,4639,Failed,500000
2026-01-05,Feed the Hungry,V008,WhatsApp,1717,Failed,300000
2026-02-08,Project Education,V001,WhatsApp,1687,Completed,500000
2026-01-03,Project Education,V010,WhatsApp,4164,Completed,500000
2026-04-30,Winter Clothes Drive,V001,WhatsApp,3603,Completed,200000
2026-02-07,Women Empowerment,V004,LinkedIn,1050,Failed,400000
2025-12-25,Winter Clothes Drive,V008,Instagram,900,Pending,200000
2026-02-27,Winter Clothes Drive,V005,WhatsApp,1438,Completed,200000
2026-02-11,Winter Clothes Drive,V002,LinkedIn,3762,Failed,200000
2026-02-23,Winter Clothes Drive,V006,WhatsApp,1417,Completed,200000
2025-12-17,Feed the Hungry,V005,Instagram,871,Completed,300000
2025-12-21,Women Empowerment,V002,Instagram,504,Completed,400000
2026-06-06,Project Education,V003,LinkedIn,1674,Pending,500000
2026-03-12,Project Education,V009,WhatsApp,2822,Failed,500000
2026-01-21,Women Empowerment,V007,Cold Call,3776,Completed,400000
2026-01-17,Project Education,V007,WhatsApp,3197,Completed,500000
2026-02-14,Women Empowerment,V006,WhatsApp,4139,Pending,400000
2025-12-21,Project Education,V008,WhatsApp,4856,Completed,500000
2026-04-28,Winter Clothes Drive,V004,WhatsApp,2240,Completed,200000
2026-02-26,Project Education,V008,Cold Call,966,Completed,500000
2025-12-26,Women Empowerment,V004,Instagram,4036,Completed,400000
2026-04-20,Women Empowerment,V008,WhatsApp,2925,Completed,400000
2026-02-20,Women Empowerment,V009,LinkedIn,1490,Completed,400000
2026-04-05,Women Empowerment,V003,Cold Call,4450,Failed,400000
2026-02-23,Women Empowerment,V003,Instagram,785,Completed,400000
2026-01-29,Feed the Hungry,V002,Instagram,3618,Completed,300000
2026-02-04,Feed the Hungry,V010,Cold Call,3388,Completed,300000
2025-12-25,Project Education,V003,Cold Call,3065,Completed,500000
2026-01-19,Women Empowerment,V003,Instagram,2939,Failed,400000
2026-02-25,Project Education,V005,WhatsApp,1011,Completed,500000
2026-06-09,Women Empowerment,V005,LinkedIn,3039,Pending,400000
2026-01-03,Women Empowerment,V002,Instagram,3898,Pending,400000
2026-03-22,Feed the Hungry,V010,WhatsApp,1076,Completed,300000
2026-02-15,Feed the Hungry,V006,Instagram,3915,Completed,300000
2026-01-22,Winter Clothes Drive,V005,WhatsApp,2913,Completed,200000
2026-04-13,Feed the Hungry,V006,WhatsApp,2551,Pending,300000
2026-03-26,Winter Clothes Drive,V001,WhatsApp,1997,Completed,200000
2026-03-11,Winter Clothes Drive,V005,WhatsApp,1227,Completed,200000
2026-02-17,Winter Clothes Drive,V009,Cold Call,4810,Completed,200000
2026-02-23,Winter Clothes Drive,V010,Instagram,61,Failed,200000
2026-06-07,Winter Clothes Drive,V002,Instagram,4449,Completed,200000
2026-05-03,Project Education,V001,Instagram,3414,Pending,500000
2026-04-17,Feed the Hungry,V010,WhatsApp,3072,Completed,300000
2026-03-16,Winter Clothes Drive,V009,LinkedIn,3421,Completed,200000
2026-03-17,Women Empowerment,V010,LinkedIn,2880,Completed,400000
2026-02-14,Feed the Hungry,V009,LinkedIn,92,Failed,300000
2026-04-23,Feed the Hungry,V009,WhatsApp,993,Completed,300000
2026-02-28,Winter Clothes Drive,V006,LinkedIn,2440,Pending,200000
2026-03-03,Project Education,V008,LinkedIn,2595,Failed,500000
2025-12-23,Winter Clothes Drive,V001,Cold Call,2461,Pending,200000
2026-02-25,Project Education,V010,Instagram,1054,Pending,500000
2026-03-28,Women Empowerment,V004,LinkedIn,70,Completed,400000
2026-01-25,Feed the Hungry,V001,Instagram,456,Completed,300000
2026-03-12,Women Empowerment,V008,Instagram,1064,Completed,400000
2026-03-05,Project Education,V001,WhatsApp,4481,Failed,500000
2026-03-11,Project Education,V003,Instagram,1888,Failed,500000
2026-03-30,Women Empowerment,V004,Instagram,3238,Failed,400000
2026-04-30,Project Education,V008,LinkedIn,764,Completed,500000
2026-04-18,Women Empowerment,V006,WhatsApp,4196,Pending,400000
2026-01-26,Feed the Hungry,V010,WhatsApp,3904,Pending,300000
2026-02-08,Women Empowerment,V007,LinkedIn,4469,Completed,400000
2026-05-09,Feed the Hungry,V008,WhatsApp,4934,Failed,300000
2025-12-28,Women Empowerment,V002,Instagram,190,Pending,400000
2026-05-03,Project Education,V010,WhatsApp,4615,Completed,500000
2026-05-28,Women Empowerment,V008,WhatsApp,4932,Pending,400000
2026-02-01,Project Education,V003,Cold Call,1013,Failed,500000
2026-02-26,Women Empowerment,V007,Instagram,422,Completed,400000
2025-12-20,Women Empowerment,V003,WhatsApp,3685,Failed,400000
2026-06-14,Winter Clothes Drive,V007,WhatsApp,2591,Completed,200000
2026-01-19,Project Education,V002,WhatsApp,3660,Pending,500000
2026-04-17,Winter Clothes Drive,V010,Instagram,1742,Pending,200000
2026-05-27,Project Education,V006,WhatsApp,155,Completed,500000
2026-02-23,Winter Clothes Drive,V003,LinkedIn,1731,Completed,200000
2026-03-26,Feed the Hungry,V003,Cold Call,4147,Completed,300000
2026-04-09,Women Empowerment,V009,WhatsApp,4066,Pending,400000
2026-01-04,Project Education,V007,Instagram,2686,Pending,500000
2025-12-26,Project Education,V005,Cold Call,2187,Completed,500000
2026-05-30,Women Empowerment,V010,WhatsApp,3466,Completed,400000
2026-03-28,Project Education,V007,Instagram,4495,Completed,500000
2026-05-30,Project Education,V009,LinkedIn,3580,Failed,500000
2026-01-11,Winter Clothes Drive,V001,Cold Call,1336,Pending,200000
2026-01-04,Project Education,V007,LinkedIn,3229,Completed,500000
2026-01-14,Feed the Hungry,V006,Instagram,3704,Failed,300000
2026-03-28,Feed the Hungry,V010,LinkedIn,2409,Pending,300000
2026-02-09,Women Empowerment,V009,Instagram,494,Completed,400000
2025-12-31,Project Education,V001,Instagram,85,Failed,500000
2026-02-19,Women Empowerment,V004,LinkedIn,1525,Pending,400000
